date,close,volume,open,high,low
16:00,310.42,"12,930,726",319.93,320.9845,294.76
2018/02/09,310.42,12924430,319.93,320.9845,294.76
2018/02/08,315.23,10296420,343.31,348.62,314.6
2018/02/07,345,6729682,338.99,346,335.66
2018/02/06,333.97,5080032,325.21,336.22,323.5
2018/02/05,333.13,4441166,337.97,344.47,333
2018/02/02,343.75,3696157,348.44,351.95,340.51
2018/02/01,349.25,4187440,351,359.66,348.63
2018/01/31,354.31,6199373,347.51,356.19,345.19
2018/01/30,345.82,4710684,345.14,348.27,342.17
2018/01/29,349.53,4738208,339.85,350.85,338.28
2018/01/26,342.85,4535457,341.5,344,335.71
2018/01/25,337.64,6725208,348.27,349.2,336.4
2018/01/24,345.89,5277386,354.58,354.75,343.52
2018/01/23,352.79,5447622,360,360.5,351
2018/01/22,351.56,6199777,349.4,357.83,349.2
2018/01/19,350.02,4871181,345,350.5899,342.6
2018/01/18,344.57,5679629,345.67,352.3,343.74
2018/01/17,347.16,7092554,340.47,349,339.75
2018/01/16,340.06,6429234,337.54,345,334.8
2018/01/12,336.22,4822509,338.63,340.41,333.67
2018/01/11,337.95,6640863,335.24,344.8099,333.26
2018/01/10,334.8,4303053,332.2,337,330
2018/01/09,333.69,7134525,335.16,338.8,327.405
2018/01/08,336.41,9832610,316,337.0199,315.5
2018/01/05,316.58,4588728,316.62,317.24,312
2018/01/04,314.62,9944593,312.87,318.55,305.68
2018/01/03,317.25,4438520,321,325.25,315.55
2018/01/02,320.53,4345615,312,322.1099,311
2017/12/29,311.35,3769504,316.18,316.41,310
2017/12/28,315.36,4306746,311.75,315.82,309.54
2017/12/27,311.64,4705084,316,317.68,310.75
2017/12/26,317.29,4368699,323.83,323.94,316.58
2017/12/22,325.2,4207602,329.51,330.9214,324.82
2017/12/21,331.66,4369994,329.59,333.74,327.21
2017/12/20,328.98,5907378,332.69,333.1,325.04
2017/12/19,331.1,6820868,340.26,341.4925,330.3
2017/12/18,338.87,5466546,344.9,346.73,337.58
2017/12/15,343.45,6921246,342.04,343.9,335.76
2017/12/14,337.89,5792024,341.01,347.44,336.9
2017/12/13,339.03,6217701,340.93,344.22,336.5
2017/12/12,341.03,8715570,330.45,341.44,330.03
2017/12/11,328.91,7926090,314.63,329.01,313.75
2017/12/08,315.13,3466088,314.6,316.98,311.26
2017/12/07,311.24,4779590,312,318.6341,311.05
2017/12/06,313.26,7184477,300.1,313.39,300
2017/12/05,303.7,4643708,302,308,301
2017/12/04,305.2,5834227,306.5,308.265,300.61
2017/12/01,306.53,4286082,305.44,310.32,305.05
2017/11/30,308.85,4345434,308.56,310.7,304.54
2017/11/29,307.54,8757463,317.3,318,301.23
2017/11/28,317.55,4941703,316.36,320,313.92
2017/11/27,316.81,4537779,313.25,317.34,309.51
2017/11/24,315.55,3244065,313.79,316.41,311
2017/11/22,312.6,4913283,316.77,317.42,311.84
2017/11/21,317.81,7256381,310.86,318.23,308.71
2017/11/20,308.74,8241821,313.79,315.5,304.75
2017/11/17,315.05,13720830,325.67,326.67,313.15
2017/11/16,312.5,5794409,313.99,318.14,311.3
2017/11/15,311.3,5951835,306.01,312.49,301.5
2017/11/14,308.7,5661904,315,316.35,306.9
2017/11/13,315.4,7565242,300.13,316.8,299.11
2017/11/10,302.99,4621080,302.5,308.36,301.85
2017/11/09,302.99,5440173,302.5,304.46,296.3
2017/11/08,304.39,4725355,305.5,306.89,301.3001
2017/11/07,306.05,5284844,301.02,306.5,300.03
2017/11/06,302.78,6480689,307,307.5,299.01
2017/11/03,306.09,8885933,299.5,306.25,295.13
2017/11/02,299.26,19771280,300.13,308.69,292.63
2017/11/01,321.08,8242487,332.25,332.6089,320.26
2017/10/31,331.53,5650062,320.23,331.95,320.18
2017/10/30,320.08,4247619,319.18,323.78,317.25
2017/10/27,320.87,6968365,319.75,324.59,316.66
2017/10/26,326.17,5010087,327.78,330.23,323.2
2017/10/25,325.84,8583619,336.7,337.5,323.56
2017/10/24,337.34,4485692,338.8,342.8,336.16
2017/10/23,337.02,5739598,349.88,349.95,336.25
2017/10/20,345.1,4925657,352.69,354.55,344.34
2017/10/19,351.81,5055715,355.56,357.1465,348.2
2017/10/18,359.65,4936024,355.97,363,354.13
2017/10/17,355.75,3290290,350.91,356.22,350.07
2017/10/16,350.6,5373090,353.76,354.48,347.16
2017/10/13,355.57,3538807,356.98,358.49,353.68
2017/10/12,355.68,4073552,352.95,359.78,352.64
2017/10/11,354.6,4494733,353.89,357.6,351.15
2017/10/10,355.59,6972263,346.8,355.63,345.5305
2017/10/09,342.94,7461461,349.65,351.75,342.67
2017/10/06,356.88,4272866,353.1,360.0992,352.25
2017/10/05,355.33,4167913,356,357.435,351.35
2017/10/04,355.01,8147995,351.25,358.62,349.6
2017/10/03,348.14,10122550,335.9,348.55,331.28
2017/10/02,341.53,5227547,342.52,343.7,335.51
2017/09/29,341.1,5099051,341.86,344.68,338.601
2017/09/28,339.6,5309779,339.88,342.75,335.4
2017/09/27,340.97,6027375,349.9,351.489,340.5
2017/09/26,345.25,7149649,350.93,351.24,340.9
2017/09/25,344.99,7587158,353.15,357.469,342.88
2017/09/22,351.09,8142895,366.49,369.8999,350.88
2017/09/21,366.48,4610872,374.9,376.83,364.51
2017/09/20,373.91,4909958,373,378.249,371.07
2017/09/19,375.1,6435208,380,382.39,373.57
2017/09/18,385,7177773,380.25,389.61,377.68
2017/09/15,379.81,5407227,374.51,380,372.7
2017/09/14,377.64,7170263,364.33,377.96,362.63
2017/09/13,366.23,4171185,363.82,368.07,359.59
2017/09/12,362.75,5966204,364.49,368.76,360.4
2017/09/11,363.69,7651000,351.35,363.71,350
2017/09/08,343.4,3261333,348.99,349.78,342.3
2017/09/07,350.61,4235045,345.98,352.48,343.45
2017/09/06,344.53,4082001,349.5,350.979,341.56
2017/09/05,349.59,3836402,353.8,355.49,345.89
2017/09/01,355.4,3048550,356.12,357.59,353.6902
2017/08/31,355.9,4063330,353.55,358.44,352.82
2017/08/30,353.18,3404165,349.67,353.47,347
2017/08/29,347.36,4069303,339.48,349.05,338.75
2017/08/28,345.66,3746240,347.28,347.35,339.72
2017/08/25,348.05,3475186,354.24,355.69,347.3
2017/08/24,352.93,4571574,352.52,356.66,349.74
2017/08/23,352.77,4941947,338.99,353.49,338.3041
2017/08/22,341.35,4314268,341.13,342.24,337.3725
2017/08/21,337.86,6489850,345.82,345.82,331.85
2017/08/18,347.46,5390805,352.91,354,345.8
2017/08/17,351.92,5010825,361.21,363.3,351.59
2017/08/16,362.91,3406173,363,366.5,362.52
2017/08/15,362.33,3084601,365.2,365.49,359.37
2017/08/14,363.8,4507969,364.63,367.66,362.6
2017/08/11,357.87,4357562,356.97,361.26,353.62
2017/08/10,355.4,7063054,361.6,366.6504,354.66
2017/08/09,363.53,6881182,361,370,358.95
2017/08/08,365.22,7431838,357.53,368.58,357.4
2017/08/07,355.17,6309331,357.35,359.48,352.75
2017/08/04,356.91,9233295,347,357.27,343.3
2017/08/03,347.09,13524270,345.33,350,343.15
2017/08/02,325.89,11942350,318.94,327.12,311.22
2017/08/01,319.57,8284997,323,324.45,316.13
2017/07/31,323.47,8525454,335.5,341.49,321.04
2017/07/28,335.07,4869891,336.89,339.6,332.51
2017/07/27,334.46,8285879,346,347.5,326.29
2017/07/26,343.85,4809514,340.36,345.5,338.12
2017/07/25,339.6,6977932,345,345.6,334.15
2017/07/24,342.52,8598292,330.24,343.399,330.01
2017/07/21,328.4,4871708,329.46,331.2575,325.8
2017/07/20,329.92,5142516,326.9,330.22,324.2
2017/07/19,325.26,6345884,328.23,331.65,323.2193
2017/07/18,328.24,6360710,317.5,329.13,315.66
2017/07/17,319.57,9827506,325.54,327.1,313.45
2017/07/14,327.78,5607924,323.19,328.42,321.22
2017/07/13,323.41,8582315,330.11,331.6,319.97
2017/07/12,329.52,10317240,330.4,333.1,324.5
2017/07/11,327.22,11526760,316,327.28,314.3
2017/07/10,316.05,13760290,312.9,317.94,303.13
2017/07/07,313.22,14129950,313.5,317,307.38
2017/07/06,308.83,19258040,317.26,320.7899,306.3
2017/07/05,327.09,16998300,347.2,347.24,326.33
2017/07/03,352.62,6305401,370.24,371.35,351.5
2017/06/30,361.61,5823046,363.71,366.7674,359.6187
2017/06/29,360.75,8202463,370.61,371,354.1
2017/06/28,371.24,6290323,366.68,371.74,362.52
2017/06/27,362.37,6977494,376.4,376.4,362.02
2017/06/26,377.49,6596854,386.69,386.95,373.1
2017/06/23,383.45,6425180,382.45,386.99,379.345
2017/06/22,382.61,7510406,377.99,385,373.57
2017/06/21,376.4,4916770,374.35,376.99,368.02
2017/06/20,372.24,7419110,376.67,378.88,369.73
2017/06/19,369.8,6433434,375,376.7,367.8
2017/06/16,371.4,6347450,377.975,378.01,370.1
2017/06/15,375.34,10412650,372.5,375.46,366.49
2017/06/14,380.66,12778480,381.085,384.25,376.31
2017/06/13,375.95,11773370,367.62,376,366.61
2017/06/12,359.01,10507860,357.99,364.5,350.62
2017/06/09,357.32,17250060,374.42,376.87,354.8
2017/06/08,370,9028677,363.75,371.9,360.22
2017/06/07,359.65,9348692,356.34,360.5,355.14
2017/06/06,352.85,11031920,344.7,359.4929,339.97
2017/06/05,347.32,6769174,338.5,348.44,334.21
2017/06/02,339.85,5583952,339.77,342.88,335.93
2017/06/01,340.37,7601764,344,344.88,337.29
2017/05/31,341.01,9937556,337.69,342.89,335.16
2017/05/30,335.1,7771536,326,336.28,325.76
2017/05/26,325.14,7793009,317.28,325.49,316.31
2017/05/25,316.83,5000432,311.02,316.97,307.81
2017/05/24,310.22,5035192,306.51,311,305.4
2017/05/23,303.86,4314267,310.46,310.73,303.48
2017/05/22,310.35,4324305,312.8,314.37,306.8
2017/05/19,310.83,4654580,315.5,316.5,310.2
2017/05/18,313.06,5609153,307,313.94,305.31
2017/05/17,306.11,6695657,314.39,314.63,305.5
2017/05/16,317.01,4141066,317.59,320.06,315.14
2017/05/15,315.88,7606854,318.38,320.2,312.53
2017/05/12,324.81,4118613,325.48,327,321.53
2017/05/11,323.1,4747172,323.4,326,319.6
2017/05/10,325.22,5734524,321.56,325.5,318.12
2017/05/09,321.26,9663374,309.38,321.99,309.1
2017/05/08,307.19,7002907,310.9,313.79,305.82
2017/05/05,308.35,8117449,298,308.55,296.8
2017/05/04,295.46,14135990,307.435,307.77,290.7601
2017/05/03,311.02,6879259,317.67,321.53,310.45
2017/05/02,318.89,5316551,324,327.6599,316.5601
2017/05/01,322.83,8819888,314.88,327.25,314.81
2017/04/28,314.07,4496659,309.83,314.8,308
2017/04/27,308.63,3462663,311.69,313.09,307.5
2017/04/26,310.17,4683131,312.37,314.5,309
2017/04/25,313.79,6734162,308,313.98,305.86
2017/04/24,308.03,5077771,309.22,310.55,306.0215
2017/04/21,305.6,4501958,302,306.4,300.42
2017/04/20,302.51,6145961,306.51,309.15,300.23
2017/04/19,305.52,3891145,302.46,306.62,302.11
2017/04/18,300.25,3034225,299.7,300.8399,297.9
2017/04/17,301.44,4128067,302.7,304,298.68
2017/04/13,304,9275682,296.7,307.39,295.3
2017/04/12,296.84,6043648,306.34,308.4481,296.32
2017/04/11,308.71,5718053,313.38,313.47,305.5
2017/04/10,312.39,7653623,309.15,313.7299,308.71
2017/04/07,302.54,4566632,297.5,302.69,297.15
2017/04/06,298.7,5517731,296.88,301.94,294.1
2017/04/05,295,7858565,302.04,304.88,294.2
2017/04/04,303.7,10108230,296.89,304.81,294.53
2017/04/03,298.52,13864850,286.9,299,284.58
2017/03/31,278.3,3293698,278.73,279.68,276.3197
2017/03/30,277.92,4141437,278.04,282,277.21
2017/03/29,277.38,3672526,278.34,279.6,275.54
2017/03/28,277.45,7978665,277.02,280.68,275
2017/03/27,270.22,6221361,260.6,270.57,259.75
2017/03/24,263.16,5637668,255.7,263.89,255.01
2017/03/23,254.78,3309844,255.39,257.672,253.3
2017/03/22,255.01,4056735,251.56,255.07,250.51
2017/03/21,250.68,6901555,262.83,264.8,250.24
2017/03/20,261.92,3601616,260.6,264.55,258.821
2017/03/17,261.5,6491018,264,265.33,261.2
2017/03/16,262.05,7127180,262.4,265.75,259.06
2017/03/15,255.73,5233365,257,261,254.27
2017/03/14,258,7581719,246.11,258.12,246.02
2017/03/13,246.17,3011280,244.82,246.85,242.781
2017/03/10,243.69,3062785,246.21,246.5,243
2017/03/09,244.9,3876494,247.63,248.66,243
2017/03/08,246.87,3726746,247,250.07,245.32
2017/03/07,248.59,3452587,251.92,253.89,248.32
2017/03/06,251.21,3353601,247.91,251.7,247.51
2017/03/03,251.57,2925481,250.74,251.9,249
2017/03/02,250.48,3345751,249.71,253.28,248.27
2017/03/01,250.02,4804963,254.18,254.85,249.11
2017/02/28,249.99,6073890,244.19,251,243.9
2017/02/27,246.23,11450160,248.17,248.36,242.01
2017/02/24,257,8166869,252.66,258.25,250.2
2017/02/23,255.99,14877090,264,264.66,255.56
2017/02/22,273.51,8537811,280.31,283.45,272.6
2017/02/21,277.39,5647575,275.45,281.4,274.01
2017/02/17,272.23,6251469,265.8,272.89,264.15
2017/02/16,268.95,7063860,277.6,280,268.5
2017/02/15,279.76,4943879,280,282.24,276.44
2017/02/14,280.98,7341450,279.03,287.39,278.61
2017/02/13,280.6,7023072,270.74,280.7899,270.51
2017/02/10,269.23,3618336,269.79,270.95,266.11
2017/02/09,269.2,7812600,266.25,271.18,266.15